,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.023,13.1550,0.0000,11.4595,0.0000,12.1716,0.0000,12.4455,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.026,13.1517,0.0000,11.4595,0.0000,12.1705,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.029,13.1572,0.0000,11.4574,0.0000,12.1726,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.031,13.1528,0.0000,11.4574,0.0000,12.1705,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.067,13.1506,0.0000,11.4625,0.0000,12.1695,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.070,13.1528,0.0000,11.4574,0.0000,12.1664,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.073,13.1572,0.0000,11.4615,0.0000,12.1664,0.0000,12.4455,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.075,13.1506,0.0000,11.4595,0.0000,12.1664,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.078,13.1484,0.0000,11.4615,0.0000,12.1685,0.0000,12.4423,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.115,13.1528,0.0000,11.4605,0.0000,12.1716,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.119,13.1528,0.0000,11.4605,0.0000,12.1716,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.122,13.1583,0.0000,11.4574,0.0000,12.1716,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.124,13.1495,0.0000,11.4564,0.0000,12.1653,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.154,13.1561,0.0000,11.4595,0.0000,12.1695,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.158,13.1561,0.0000,11.4564,0.0000,12.1695,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.160,13.1517,0.0000,11.4595,0.0000,12.1705,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.162,13.1550,0.0000,11.4585,0.0000,12.1705,0.0000,12.4444,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.166,13.1506,0.0000,11.4574,0.0000,12.1695,0.0000,12.4434,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
