,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.006,13.1727,0.0000,11.4817,0.0000,12.1831,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.008,13.1727,0.0000,11.4766,0.0000,12.1789,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.038,13.1760,0.0000,11.4786,0.0000,12.1799,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.042,13.1738,0.0000,11.4796,0.0000,12.1778,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.044,13.1749,0.0000,11.4796,0.0000,12.1810,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.047,13.1727,0.0000,11.4786,0.0000,12.1768,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.078,13.1727,0.0000,11.4796,0.0000,12.1799,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.082,13.1815,0.0000,11.4786,0.0000,12.1799,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.084,13.1727,0.0000,11.4766,0.0000,12.1789,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.090,13.1793,0.0000,11.4786,0.0000,12.1799,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.094,13.1749,0.0000,11.4776,0.0000,12.1799,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.125,13.1727,0.0000,11.4786,0.0000,12.1747,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.128,13.1727,0.0000,11.4807,0.0000,12.1778,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.133,13.1716,0.0000,11.4807,0.0000,12.1768,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
