,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.020,13.0387,0.0000,11.4212,0.0000,12.0418,0.0000,12.4064,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.023,13.0354,0.0000,11.4191,0.0000,12.0438,0.0000,12.4075,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.025,13.0420,0.0000,11.4212,0.0000,12.0490,0.0000,12.4053,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.035,13.0431,0.0000,11.4191,0.0000,12.0490,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.065,13.0365,0.0000,11.4191,0.0000,12.0459,0.0000,12.4075,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.069,13.0409,0.0000,11.4181,0.0000,12.0438,0.0000,12.4043,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.071,13.0376,0.0000,11.4201,0.0000,12.0469,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.074,13.0420,0.0000,11.4191,0.0000,12.0438,0.0000,12.4032,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.106,13.0464,0.0000,11.4191,0.0000,12.0469,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.109,13.0420,0.0000,11.4232,0.0000,12.0500,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.111,13.0398,0.0000,11.4201,0.0000,12.0469,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.114,13.0398,0.0000,11.4212,0.0000,12.0438,0.0000,12.4043,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.139,13.0431,0.0000,11.4191,0.0000,12.0449,0.0000,12.4075,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.141,13.0442,0.0000,11.4171,0.0000,12.0532,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.143,13.0398,0.0000,11.4242,0.0000,12.0438,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.147,13.0398,0.0000,11.4212,0.0000,12.0521,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.179,13.0365,0.0000,11.4171,0.0000,12.0511,0.0000,12.4075,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.186,13.0442,0.0000,11.4191,0.0000,12.0500,0.0000,12.4043,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
