,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.004,13.0190,0.0000,11.4242,0.0000,12.0480,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.039,13.0157,0.0000,11.4252,0.0000,12.0500,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.045,13.0234,0.0000,11.4232,0.0000,12.0469,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.072,13.0179,0.0000,11.4242,0.0000,12.0480,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.076,13.0234,0.0000,11.4232,0.0000,12.0469,0.0000,12.4148,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.079,13.0190,0.0000,11.4212,0.0000,12.0459,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.081,13.0190,0.0000,11.4232,0.0000,12.0438,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.111,13.0223,0.0000,11.4272,0.0000,12.0469,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.115,13.0212,0.0000,11.4262,0.0000,12.0438,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.117,13.0168,0.0000,11.4252,0.0000,12.0459,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.120,13.0179,0.0000,11.4252,0.0000,12.0428,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.123,13.0190,0.0000,11.4222,0.0000,12.0500,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.154,13.0201,0.0000,11.4232,0.0000,12.0459,0.0000,12.4148,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.157,13.0201,0.0000,11.4242,0.0000,12.0469,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.166,13.0147,0.0000,11.4262,0.0000,12.0469,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.168,13.0223,0.0000,11.4242,0.0000,12.0490,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.197,13.0190,0.0000,11.4242,0.0000,12.0480,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.201,13.0168,0.0000,11.4232,0.0000,12.0438,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.203,13.0190,0.0000,11.4252,0.0000,12.0480,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.207,13.0212,0.0000,11.4222,0.0000,12.0438,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.238,13.0190,0.0000,11.4252,0.0000,12.0480,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.241,13.0179,0.0000,11.4262,0.0000,12.0480,0.0000,12.4075,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.244,13.0223,0.0000,11.4232,0.0000,12.0469,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.257,13.0168,0.0000,11.4242,0.0000,12.0480,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.260,13.0168,0.0000,11.4252,0.0000,12.0490,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.273,13.0157,0.0000,11.4222,0.0000,12.0500,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.276,13.0168,0.0000,11.4242,0.0000,12.0459,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.313,13.0190,0.0000,11.4272,0.0000,12.0480,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.320,13.0201,0.0000,11.4262,0.0000,12.0532,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.322,13.0190,0.0000,11.4272,0.0000,12.0521,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.347,13.0190,0.0000,11.4252,0.0000,12.0469,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.350,13.0201,0.0000,11.4262,0.0000,12.0480,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.375,13.0157,0.0000,11.4292,0.0000,12.0490,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.377,13.0157,0.0000,11.4222,0.0000,12.0490,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.396,13.0190,0.0000,11.4242,0.0000,12.0521,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.398,13.0223,0.0000,11.4242,0.0000,12.0459,0.0000,12.4148,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.405,13.0234,0.0000,11.4272,0.0000,12.0490,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.407,13.0234,0.0000,11.4292,0.0000,12.0521,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.412,13.0212,0.0000,11.4232,0.0000,12.0490,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.417,13.0168,0.0000,11.4262,0.0000,12.0459,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.453,13.0190,0.0000,11.4292,0.0000,12.0500,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.455,13.0245,0.0000,11.4302,0.0000,12.0532,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.457,13.0179,0.0000,11.4252,0.0000,12.0511,0.0000,12.4148,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.460,13.0212,0.0000,11.4262,0.0000,12.0469,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.490,13.0190,0.0000,11.4262,0.0000,12.0511,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.493,13.0201,0.0000,11.4242,0.0000,12.0511,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.496,13.0179,0.0000,11.4262,0.0000,12.0532,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.498,13.0157,0.0000,11.4272,0.0000,12.0500,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.502,13.0179,0.0000,11.4302,0.0000,12.0500,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.532,13.0179,0.0000,11.4292,0.0000,12.0500,0.0000,12.4106,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.536,13.0190,0.0000,11.4252,0.0000,12.0490,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.545,13.0179,0.0000,11.4262,0.0000,12.0532,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.548,13.0234,0.0000,11.4292,0.0000,12.0521,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.580,13.0201,0.0000,11.4272,0.0000,12.0521,0.0000,12.4096,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.583,13.0234,0.0000,11.4262,0.0000,12.0480,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.586,13.0179,0.0000,11.4282,0.0000,12.0542,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.588,13.0168,0.0000,11.4272,0.0000,12.0511,0.0000,12.4148,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.618,13.0245,0.0000,11.4272,0.0000,12.0469,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.622,13.0201,0.0000,11.4282,0.0000,12.0521,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.625,13.0212,0.0000,11.4272,0.0000,12.0532,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.628,13.0223,0.0000,11.4292,0.0000,12.0521,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.657,13.0223,0.0000,11.4282,0.0000,12.0521,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.661,13.0212,0.0000,11.4252,0.0000,12.0521,0.0000,12.4085,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.664,13.0223,0.0000,11.4302,0.0000,12.0521,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.672,13.0168,0.0000,11.4292,0.0000,12.0500,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.702,13.0168,0.0000,11.4292,0.0000,12.0542,0.0000,12.4191,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.705,13.0201,0.0000,11.4292,0.0000,12.0552,0.0000,12.4117,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.707,13.0157,0.0000,11.4272,0.0000,12.0511,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.710,13.0223,0.0000,11.4302,0.0000,12.0511,0.0000,12.4127,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.740,13.0201,0.0000,11.4302,0.0000,12.0532,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.743,13.0190,0.0000,11.4302,0.0000,12.0563,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.746,13.0267,0.0000,11.4312,0.0000,12.0532,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.748,13.0212,0.0000,11.4312,0.0000,12.0552,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.778,13.0234,0.0000,11.4363,0.0000,12.0573,0.0000,12.4148,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.782,13.0234,0.0000,11.4343,0.0000,12.0573,0.0000,12.4159,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.785,13.0245,0.0000,11.4353,0.0000,12.0552,0.0000,12.4201,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.791,13.0201,0.0000,11.4343,0.0000,12.0563,0.0000,12.4138,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.823,13.0212,0.0000,11.4353,0.0000,12.0594,0.0000,12.4170,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.826,13.0190,0.0000,11.4343,0.0000,12.0625,0.0000,12.4243,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.829,13.0234,0.0000,11.4353,0.0000,12.0594,0.0000,12.4222,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.831,13.0212,0.0000,11.4403,0.0000,12.0583,0.0000,12.4222,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.838,13.0278,0.0000,11.4403,0.0000,12.0625,0.0000,12.4222,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.874,13.0300,0.0000,11.4443,0.0000,12.0666,0.0000,12.4275,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.877,13.0234,0.0000,11.4574,0.0000,12.0666,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.880,13.0179,0.0000,11.4736,0.0000,12.0822,0.0000,12.4740,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.894,13.0179,0.0000,11.5180,0.0000,12.0957,0.0000,12.4889,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.896,13.0179,0.0000,11.5373,0.0000,12.1185,0.0000,12.5164,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.903,13.0190,0.0000,11.5575,0.0000,12.1362,0.0000,12.5430,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.905,13.0234,0.0000,11.5778,0.0000,12.1518,0.0000,12.5653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.934,13.0223,0.0000,11.6021,0.0000,12.1674,0.0000,12.5823,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.940,13.0300,0.0000,11.6255,0.0000,12.1810,0.0000,12.6068,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.965,13.0168,0.0000,11.6651,0.0000,12.1997,0.0000,12.6303,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.967,13.0190,0.0000,11.6835,0.0000,12.2290,0.0000,12.6870,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.993,13.0223,0.0000,11.6957,0.0000,12.2384,0.0000,12.7084,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.995,13.0168,0.0000,11.7140,0.0000,12.2457,0.0000,12.7288,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.013,13.0245,0.0000,11.7222,0.0000,12.2562,0.0000,12.7492,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.016,13.0245,0.0000,11.7355,0.0000,12.2593,0.0000,12.7546,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.025,13.0332,0.0000,11.7477,0.0000,12.2687,0.0000,12.7794,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.027,13.0289,0.0000,11.7518,0.0000,12.2740,0.0000,12.7869,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.030,13.0310,0.0000,11.7589,0.0000,12.2792,0.0000,12.7987,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.057,13.0387,0.0000,11.7630,0.0000,12.2771,-0.0171,12.8031,0.0337,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.063,13.0365,-0.0168,11.7661,0.0261,12.2803,0.0085,12.8052,0.0506,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.066,13.0387,0.0000,11.7641,0.0087,12.2771,-0.0171,12.8074,0.0674,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.069,13.0365,-0.0168,11.7641,0.0087,12.2792,0.0000,12.8085,0.0758,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.098,13.0398,0.0084,11.7641,0.0087,12.2844,0.0427,12.8052,0.0506,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.101,13.0332,-0.0419,11.7630,0.0000,12.2792,0.0000,12.8041,0.0421,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.104,13.0332,-0.0419,11.7620,-0.0087,12.2792,0.0000,12.8041,0.0421,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.106,13.0321,-0.0503,11.7559,-0.0608,12.2740,-0.0427,12.7998,0.0084,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.137,13.0300,-0.0671,11.7508,-0.1042,12.2740,-0.0427,12.7815,-0.1347,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.141,13.0300,-0.0671,11.7497,-0.1129,12.2645,-0.1194,12.7740,-0.1936,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.143,13.0278,-0.0838,11.7406,-0.1910,12.2572,-0.1791,12.7600,-0.3029,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.150,13.0278,-0.0838,11.7120,-0.4339,12.2468,-0.2643,12.7331,-0.5128,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.152,13.0201,-0.1425,11.6580,-0.8928,12.1893,-0.7321,12.6998,-0.7727,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.181,13.0234,-0.1174,11.4877,-2.3404,12.0791,-1.6299,12.4931,-2.3882,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.187,13.0256,-0.1006,11.4504,-2.6579,12.0697,-1.7059,12.4349,-2.8428,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.191,13.0289,-0.0755,11.4474,-2.6836,12.0666,-1.7312,12.4338,-2.8511,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.221,13.0256,-0.1006,11.4453,-2.7007,12.0666,-1.7312,12.4307,-2.8759,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.225,13.0223,-0.1257,11.4423,-2.7264,12.0614,-1.7735,12.4275,-2.9006,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.227,13.0168,-0.1676,11.4373,-2.7693,12.0635,-1.7566,12.4212,-2.9501,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.230,13.0201,-0.1425,11.4393,-2.7522,12.0594,-1.7903,12.4254,-2.9171,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.260,13.0256,-0.1006,11.4413,-2.7350,12.0594,-1.7903,12.4212,-2.9501,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.263,13.0289,-0.0755,11.4383,-2.7607,12.0635,-1.7566,12.4212,-2.9501,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.266,13.0201,-0.1425,11.4393,-2.7522,12.0563,-1.8156,12.4243,-2.9254,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.272,13.0201,-0.1425,11.4343,-2.7950,12.0552,-1.8241,12.4254,-2.9171,OL,OL,OL,OL,OL,OL,0.0000,0.0000
1.275,13.0234,-0.1174,11.4373,-2.7693,12.0552,-1.8241,12.4222,-2.9419,OL,OL,OL,OL,OL,OL,0.0000,0.0000
