,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.016,13.1738,0.0000,11.4736,0.0000,12.1810,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.019,13.1727,0.0000,11.4756,0.0000,12.1789,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.021,13.1683,0.0000,11.4736,0.0000,12.1799,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.029,13.1793,0.0000,11.4726,0.0000,12.1810,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.032,13.1727,0.0000,11.4736,0.0000,12.1831,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.062,13.1727,0.0000,11.4726,0.0000,12.1799,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.065,13.1749,0.0000,11.4756,0.0000,12.1799,0.0000,12.4560,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.067,13.1727,0.0000,11.4746,0.0000,12.1810,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.072,13.1705,0.0000,11.4736,0.0000,12.1789,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.100,13.1727,0.0000,11.4756,0.0000,12.1789,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.103,13.1727,0.0000,11.4756,0.0000,12.1820,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.112,13.1683,0.0000,11.4726,0.0000,12.1799,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.115,13.1705,0.0000,11.4716,0.0000,12.1831,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.148,13.1716,0.0000,11.4726,0.0000,12.1768,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.151,13.1771,0.0000,11.4756,0.0000,12.1799,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.154,13.1738,0.0000,11.4746,0.0000,12.1810,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.156,13.1760,0.0000,11.4766,0.0000,12.1799,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.160,13.1716,0.0000,11.4756,0.0000,12.1841,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.190,13.1760,0.0000,11.4726,0.0000,12.1831,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.194,13.1727,0.0000,11.4746,0.0000,12.1831,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.196,13.1782,0.0000,11.4756,0.0000,12.1831,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.198,13.1749,0.0000,11.4756,0.0000,12.1841,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.229,13.1694,0.0000,11.4786,0.0000,12.1841,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.232,13.1716,0.0000,11.4776,0.0000,12.1799,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.241,13.1749,0.0000,11.4756,0.0000,12.1851,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.243,13.1749,0.0000,11.4756,0.0000,12.1831,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.283,13.1716,0.0000,11.4766,0.0000,12.1841,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.286,13.1804,0.0000,11.4776,0.0000,12.1841,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.288,13.1760,0.0000,11.4766,0.0000,12.1841,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.302,13.1694,0.0000,11.4776,0.0000,12.1862,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.305,13.1749,0.0000,11.4796,0.0000,12.1831,0.0000,12.4550,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.307,13.1727,0.0000,11.4796,0.0000,12.1862,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.310,13.1749,0.0000,11.4756,0.0000,12.1841,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.338,13.1694,0.0000,11.4776,0.0000,12.1841,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.342,13.1727,0.0000,11.4736,0.0000,12.1851,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.346,13.1738,0.0000,11.4786,0.0000,12.1820,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.350,13.1749,0.0000,11.4796,0.0000,12.1872,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.358,13.1749,0.0000,11.4796,0.0000,12.1893,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.392,13.1771,0.0000,11.4776,0.0000,12.1851,0.0000,12.4666,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.395,13.1727,0.0000,11.4817,0.0000,12.1872,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.423,13.1749,0.0000,11.4796,0.0000,12.1883,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.448,13.1793,0.0000,11.4796,0.0000,12.1893,0.0000,12.4645,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.450,13.1760,0.0000,11.4796,0.0000,12.1883,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.469,13.1815,0.0000,11.4817,0.0000,12.1893,0.0000,12.4656,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
