,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.009,13.0869,0.0000,11.4050,0.0000,12.1414,0.0000,12.4265,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.013,13.0825,0.0000,11.4071,0.0000,12.1435,0.0000,12.4222,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.016,13.0902,0.0000,11.4050,0.0000,12.1424,0.0000,12.4233,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.023,13.0858,0.0000,11.4040,0.0000,12.1414,0.0000,12.4254,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.025,13.0847,0.0000,11.4050,0.0000,12.1424,0.0000,12.4265,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.056,13.0880,0.0000,11.4071,0.0000,12.1414,0.0000,12.4265,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.059,13.0858,0.0000,11.4040,0.0000,12.1424,0.0000,12.4275,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.061,13.0913,0.0000,11.4060,0.0000,12.1414,0.0000,12.4296,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.091,13.0913,0.0000,11.4040,0.0000,12.1435,0.0000,12.4265,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.095,13.0924,0.0000,11.4030,0.0000,12.1414,0.0000,12.4243,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.097,13.0858,0.0000,11.4030,0.0000,12.1445,0.0000,12.4286,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.100,13.0924,0.0000,11.4050,0.0000,12.1404,0.0000,12.4254,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.130,13.0858,0.0000,11.4050,0.0000,12.1435,0.0000,12.4275,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.134,13.0836,0.0000,11.4040,0.0000,12.1414,0.0000,12.4265,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.136,13.0880,0.0000,11.4071,0.0000,12.1404,0.0000,12.4212,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.144,13.0825,0.0000,11.4050,0.0000,12.1414,0.0000,12.4254,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.146,13.0891,0.0000,11.4060,0.0000,12.1414,0.0000,12.4233,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.179,13.0913,0.0000,11.4030,0.0000,12.1424,0.0000,12.4275,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.181,13.0836,0.0000,11.4050,0.0000,12.1414,0.0000,12.4243,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.184,13.0869,0.0000,11.4040,0.0000,12.1435,0.0000,12.4275,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.214,13.0869,0.0000,11.4060,0.0000,12.1414,0.0000,12.4233,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.217,13.0891,0.0000,11.4040,0.0000,12.1393,0.0000,12.4233,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.220,13.0902,0.0000,11.4060,0.0000,12.1393,0.0000,12.4275,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
