,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.003,13.0606,0.0000,11.3427,0.0000,12.0832,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.032,13.0672,0.0000,11.3417,0.0000,12.0791,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.036,13.0639,0.0000,11.3407,0.0000,12.0791,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.038,13.0584,0.0000,11.3407,0.0000,12.0822,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.041,13.0606,0.0000,11.3407,0.0000,12.0822,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.071,13.0617,0.0000,11.3397,0.0000,12.0801,0.0000,12.3632,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.075,13.0628,0.0000,11.3407,0.0000,12.0780,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.078,13.0562,0.0000,11.3407,0.0000,12.0822,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.080,13.0606,0.0000,11.3387,0.0000,12.0822,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.114,13.0650,0.0000,11.3437,0.0000,12.0780,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.116,13.0661,0.0000,11.3407,0.0000,12.0780,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.118,13.0606,0.0000,11.3377,0.0000,12.0853,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.122,13.0628,0.0000,11.3397,0.0000,12.0822,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.152,13.0639,0.0000,11.3367,0.0000,12.0811,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.156,13.0606,0.0000,11.3407,0.0000,12.0760,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.159,13.0606,0.0000,11.3397,0.0000,12.0811,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.172,13.0606,0.0000,11.3397,0.0000,12.0791,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.175,13.0661,0.0000,11.3397,0.0000,12.0791,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.189,13.0606,0.0000,11.3377,0.0000,12.0822,0.0000,12.3569,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.191,13.0639,0.0000,11.3387,0.0000,12.0811,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.225,13.0606,0.0000,11.3367,0.0000,12.0822,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.227,13.0606,0.0000,11.3397,0.0000,12.0801,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.232,13.0672,0.0000,11.3407,0.0000,12.0791,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.235,13.0628,0.0000,11.3397,0.0000,12.0801,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.265,13.0617,0.0000,11.3427,0.0000,12.0801,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.269,13.0628,0.0000,11.3387,0.0000,12.0822,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.271,13.0661,0.0000,11.3407,0.0000,12.0780,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.273,13.0595,0.0000,11.3407,0.0000,12.0822,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.305,13.0639,0.0000,11.3407,0.0000,12.0832,0.0000,12.3685,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.308,13.0606,0.0000,11.3407,0.0000,12.0822,0.0000,12.3695,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.311,13.0628,0.0000,11.3407,0.0000,12.0863,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.313,13.0617,0.0000,11.3407,0.0000,12.0822,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.343,13.0595,0.0000,11.3387,0.0000,12.0791,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.347,13.0661,0.0000,11.3397,0.0000,12.0822,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.352,13.0639,0.0000,11.3407,0.0000,12.0780,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.356,13.0595,0.0000,11.3387,0.0000,12.0822,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.386,13.0584,0.0000,11.3387,0.0000,12.0822,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.390,13.0606,0.0000,11.3387,0.0000,12.0822,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.392,13.0617,0.0000,11.3427,0.0000,12.0811,0.0000,12.3590,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.395,13.0584,0.0000,11.3427,0.0000,12.0822,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.425,13.0628,0.0000,11.3387,0.0000,12.0822,0.0000,12.3695,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.428,13.0584,0.0000,11.3377,0.0000,12.0811,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.431,13.0606,0.0000,11.3437,0.0000,12.0811,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.456,13.0650,0.0000,11.3397,0.0000,12.0811,0.0000,12.3685,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
