,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.012,13.0726,0.0000,11.3477,0.0000,12.1123,0.0000,12.3622,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.016,13.0748,0.0000,11.3447,0.0000,12.1071,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.018,13.0726,0.0000,11.3467,0.0000,12.1081,0.0000,12.3685,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.021,13.0726,0.0000,11.3477,0.0000,12.1081,0.0000,12.3632,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.052,13.0683,0.0000,11.3447,0.0000,12.1081,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.055,13.0704,0.0000,11.3447,0.0000,12.1102,0.0000,12.3632,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.058,13.0704,0.0000,11.3447,0.0000,12.1081,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.060,13.0715,0.0000,11.3467,0.0000,12.1092,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.094,13.0759,0.0000,11.3477,0.0000,12.1060,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.103,13.0726,0.0000,11.3487,0.0000,12.1081,0.0000,12.3622,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.133,13.0704,0.0000,11.3467,0.0000,12.1102,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.137,13.0748,0.0000,11.3447,0.0000,12.1081,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.139,13.0748,0.0000,11.3487,0.0000,12.1071,0.0000,12.3622,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.143,13.0683,0.0000,11.3457,0.0000,12.1144,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.147,13.0759,0.0000,11.3437,0.0000,12.1081,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.153,13.0693,0.0000,11.3487,0.0000,12.1071,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.183,13.0715,0.0000,11.3467,0.0000,12.1071,0.0000,12.3611,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.187,13.0759,0.0000,11.3457,0.0000,12.1081,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.189,13.0726,0.0000,11.3487,0.0000,12.1102,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.192,13.0737,0.0000,11.3457,0.0000,12.1060,0.0000,12.3611,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.222,13.0715,0.0000,11.3477,0.0000,12.1092,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.226,13.0726,0.0000,11.3487,0.0000,12.1071,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.253,13.0704,0.0000,11.3487,0.0000,12.1071,0.0000,12.3622,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.255,13.0693,0.0000,11.3477,0.0000,12.1060,0.0000,12.3611,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.262,13.0715,0.0000,11.3477,0.0000,12.1102,0.0000,12.3600,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.264,13.0770,0.0000,11.3487,0.0000,12.1144,0.0000,12.3622,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.290,13.0672,0.0000,11.3437,0.0000,12.1092,0.0000,12.3685,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.292,13.0672,0.0000,11.3467,0.0000,12.1071,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.298,13.0715,0.0000,11.3437,0.0000,12.1102,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.300,13.0693,0.0000,11.3447,0.0000,12.1185,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.303,13.0748,0.0000,11.3477,0.0000,12.1112,0.0000,12.3611,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.334,13.0748,0.0000,11.3487,0.0000,12.1123,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.338,13.0737,0.0000,11.3477,0.0000,12.1123,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.340,13.0748,0.0000,11.3437,0.0000,12.1081,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.373,13.0704,0.0000,11.3457,0.0000,12.1102,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.377,13.0726,0.0000,11.3457,0.0000,12.1112,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.379,13.0715,0.0000,11.3467,0.0000,12.1123,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.382,13.0715,0.0000,11.3467,0.0000,12.1112,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.384,13.0737,0.0000,11.3487,0.0000,12.1112,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.413,13.0704,0.0000,11.3467,0.0000,12.1092,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.417,13.0748,0.0000,11.3457,0.0000,12.1081,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.419,13.0748,0.0000,11.3457,0.0000,12.1081,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.425,13.0759,0.0000,11.3487,0.0000,12.1081,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.457,13.0737,0.0000,11.3487,0.0000,12.1112,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.460,13.0737,0.0000,11.3467,0.0000,12.1092,0.0000,12.3622,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.463,13.0748,0.0000,11.3467,0.0000,12.1081,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.465,13.0672,0.0000,11.3457,0.0000,12.1133,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.497,13.0693,0.0000,11.3457,0.0000,12.1081,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.500,13.0672,0.0000,11.3457,0.0000,12.1112,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.503,13.0704,0.0000,11.3467,0.0000,12.1123,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.505,13.0672,0.0000,11.3457,0.0000,12.1112,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.535,13.0737,0.0000,11.3487,0.0000,12.1112,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.539,13.0715,0.0000,11.3477,0.0000,12.1102,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.543,13.0704,0.0000,11.3457,0.0000,12.1102,0.0000,12.3632,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.548,13.0737,0.0000,11.3447,0.0000,12.1071,0.0000,12.3590,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.552,13.0683,0.0000,11.3457,0.0000,12.1102,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.582,13.0726,0.0000,11.3467,0.0000,12.1092,0.0000,12.3622,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.585,13.0661,0.0000,11.3467,0.0000,12.1102,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.588,13.0693,0.0000,11.3507,0.0000,12.1092,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.592,13.0704,0.0000,11.3407,0.0000,12.1050,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.598,13.0672,0.0000,11.3517,0.0000,12.1019,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.629,13.0683,0.0000,11.3467,0.0000,12.1133,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.631,13.0704,0.0000,11.3487,0.0000,12.1112,0.0000,12.3664,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.635,13.0693,0.0000,11.3477,0.0000,12.1102,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.665,13.0759,0.0000,11.3427,0.0000,12.1060,0.0000,12.3685,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.669,13.0748,0.0000,11.3467,0.0000,12.1123,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.672,13.0770,0.0000,11.3497,0.0000,12.1164,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.674,13.0715,0.0000,11.3487,0.0000,12.1144,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.704,13.0683,0.0000,11.3467,0.0000,12.1081,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.708,13.0726,0.0000,11.3477,0.0000,12.1092,0.0000,12.3674,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.713,13.0704,0.0000,11.3467,0.0000,12.1102,0.0000,12.3653,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.715,13.0672,0.0000,11.3477,0.0000,12.1133,0.0000,12.3643,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
