,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.003,13.1407,0.0000,11.4564,0.0000,12.1497,0.0000,12.4634,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.004,13.1451,0.0000,11.4534,0.0000,12.1508,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.015,13.1451,0.0000,11.4574,0.0000,12.1508,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.022,13.1407,0.0000,11.4574,0.0000,12.1508,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.058,13.1396,0.0000,11.4574,0.0000,12.1487,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.061,13.1429,0.0000,11.4554,0.0000,12.1518,0.0000,12.4656,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.065,13.1451,0.0000,11.4554,0.0000,12.1508,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.066,13.1440,0.0000,11.4574,0.0000,12.1518,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.068,13.1451,0.0000,11.4554,0.0000,12.1508,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.097,13.1484,0.0000,11.4534,0.0000,12.1528,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.101,13.1396,0.0000,11.4564,0.0000,12.1528,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.104,13.1440,0.0000,11.4544,0.0000,12.1528,0.0000,12.4613,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.106,13.1396,0.0000,11.4534,0.0000,12.1539,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.137,13.1451,0.0000,11.4564,0.0000,12.1476,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.140,13.1451,0.0000,11.4554,0.0000,12.1487,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.149,13.1484,0.0000,11.4564,0.0000,12.1456,0.0000,12.4666,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.151,13.1429,0.0000,11.4574,0.0000,12.1497,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.181,13.1396,0.0000,11.4554,0.0000,12.1508,0.0000,12.4624,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.184,13.1451,0.0000,11.4554,0.0000,12.1508,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.186,13.1396,0.0000,11.4554,0.0000,12.1508,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
