,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.007,13.1484,0.0000,11.4635,0.0000,12.1466,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.029,13.1429,0.0000,11.4625,0.0000,12.1414,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.033,13.1462,0.0000,11.4605,0.0000,12.1414,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.035,13.1473,0.0000,11.4635,0.0000,12.1445,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.062,13.1429,0.0000,11.4625,0.0000,12.1435,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.064,13.1429,0.0000,11.4635,0.0000,12.1362,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.089,13.1473,0.0000,11.4635,0.0000,12.1414,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.091,13.1429,0.0000,11.4605,0.0000,12.1414,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.110,13.1484,0.0000,11.4615,0.0000,12.1414,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.113,13.1484,0.0000,11.4595,0.0000,12.1393,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.121,13.1429,0.0000,11.4615,0.0000,12.1435,0.0000,12.4582,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.126,13.1440,0.0000,11.4625,0.0000,12.1435,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.133,13.1506,0.0000,11.4615,0.0000,12.1456,0.0000,12.4592,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.137,13.1495,0.0000,11.4625,0.0000,12.1414,0.0000,12.4603,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.167,13.1528,0.0000,11.4605,0.0000,12.1404,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.170,13.1506,0.0000,11.4615,0.0000,12.1435,0.0000,12.4560,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.173,13.1462,0.0000,11.4645,0.0000,12.1424,0.0000,12.4571,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
