,Ch1,,Ch2,,Ch3,,Ch4,,Ch5,,Ch6,,Ch7,,Ch8,
Time (s),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%),C (pF),ΔC/C0 (%)
0.017,13.0485,0.0000,11.4423,0.0000,12.0687,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.020,13.0453,0.0000,11.4443,0.0000,12.0697,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.022,13.0431,0.0000,11.4433,0.0000,12.0687,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.058,13.0453,0.0000,11.4443,0.0000,12.0697,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.061,13.0507,0.0000,11.4443,0.0000,12.0697,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.063,13.0529,0.0000,11.4453,0.0000,12.0718,0.0000,12.4381,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.066,13.0474,0.0000,11.4433,0.0000,12.0697,0.0000,12.4370,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.097,13.0464,0.0000,11.4443,0.0000,12.0687,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.102,13.0474,0.0000,11.4433,0.0000,12.0760,0.0000,12.4402,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.109,13.0464,0.0000,11.4443,0.0000,12.0625,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.113,13.0540,0.0000,11.4474,0.0000,12.0666,0.0000,12.4412,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.114,13.0485,0.0000,11.4443,0.0000,12.0739,0.0000,12.4338,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.141,13.0474,0.0000,11.4453,0.0000,12.0666,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
0.145,13.0464,0.0000,11.4433,0.0000,12.0697,0.0000,12.4391,0.0000,OL,OL,OL,OL,OL,OL,0.0000,0.0000
